Rapor Tarihi (YYYYMMDD),Rapor Saati (HHMM),İstasyon Kodu,Gözlem Zamanı (UTC),Hava Durumu,Bulut Durumu,Sıcaklık ve Çiy Noktası (°C),Barometrik Basınç (hPa)
20241121,0620,LTFJ,210620Z,,SCT040 BKN100,20/09,1001
20241121,0550,LTFJ,210550Z,,SCT040 BKN100,20/09,1001
20241121,0520,LTFJ,210520Z,,SCT040 BKN120,19/09,1000
20241121,0450,LTFJ,210450Z,,SCT040 BKN180,19/09,1000
20241121,0420,LTFJ,210420Z,,SCT040,19/09,1000
20241121,0350,LTFJ,210350Z,,SCT040,19/09,1001
20241121,0320,LTFJ,210320Z,,SCT040,19/08,1001
20241121,0250,LTFJ,210250Z,,SCT040,19/08,1001
20241121,0220,LTFJ,210220Z,,SCT040,19/08,1002
20241121,0150,LTFJ,210150Z,,SCT040,19/08,1002
20241121,0120,LTFJ,210120Z,,SCT040,19/08,1003
20241121,0050,LTFJ,210050Z,,SCT040,18/08,1003
20241121,0020,LTFJ,210020Z,,SCT040,18/08,1003
20241120,2350,LTFJ,202350Z,,SCT040,18/08,1004
20241120,2320,LTFJ,202320Z,,SCT040,18/08,1004
20241120,2250,LTFJ,202250Z,,SCT040,18/08,1005
20241120,2220,LTFJ,202220Z,,SCT040,18/07,1005
20241120,2150,LTFJ,202150Z,,SCT040,18/07,1005
20241120,2120,LTFJ,202120Z,,SCT040,18/07,1006
20241120,2050,LTFJ,202050Z,,SCT040,17/08,1006
20241120,2020,LTFJ,202020Z,,SCT040,17/08,1006
20241120,1950,LTFJ,201950Z,,SCT040,17/07,1006
20241120,1920,LTFJ,201920Z,,SCT040,17/08,1006
20241120,1850,LTFJ,201850Z,,SCT040,17/08,1007
20241120,1820,LTFJ,201820Z,,SCT040,17/08,1007
20241120,1750,LTFJ,201750Z,,SCT040,17/08,1007
20241120,1720,LTFJ,201720Z,,SCT045,17/08,1007
20241120,1650,LTFJ,201650Z,,FEW040,17/08,1008
20241120,1620,LTFJ,201620Z,,SCT040,17/08,1008
20241120,1550,LTFJ,201550Z,,SCT040,17/08,1008
20241120,1520,LTFJ,201520Z,,SCT040,17/07,1008
20241120,1450,LTFJ,201450Z,,SCT040,17/07,1008
20241120,1420,LTFJ,201420Z,,SCT040 BKN090,17/07,1008
20241120,1350,LTFJ,201350Z,,SCT040 BKN090,17/07,1009
20241120,1320,LTFJ,201320Z,,SCT040 BKN090,18/08,1009
20241120,1250,LTFJ,201250Z,,SCT040 SCT100,18/07,1009
20241120,1220,LTFJ,201220Z,,SCT040 SCT100,18/08,1009
20241120,1150,LTFJ,201150Z,,SCT040 SCT100,17/07,1010
20241120,1120,LTFJ,201120Z,,FEW040 SCT120,18/06,1010
20241120,1050,LTFJ,201050Z,CAVOK,,17/06,1010
20241120,1020,LTFJ,201020Z,CAVOK,,17/06,1011
20241120,0950,LTFJ,200950Z,CAVOK,,17/06,1011
20241120,0920,LTFJ,200920Z,CAVOK,,16/06,1012
20241120,0850,LTFJ,200850Z,CAVOK,,15/06,1012
20241120,0820,LTFJ,200820Z,CAVOK,,15/07,1012
20241120,0750,LTFJ,200750Z,CAVOK,,14/07,1013
20241120,0720,LTFJ,200720Z,NSC,,13/08,1012
20241120,0650,LTFJ,200650Z,NSC,,13/09,1013
20241120,0620,LTFJ,200620Z,NSC,,11/09,1013
20241120,0550,LTFJ,200550Z,NSC,,10/08,1013
20241120,0520,LTFJ,200520Z,NSC,,09/08,1013
20241120,0450,LTFJ,200450Z,,FEW012,09/08,1013
20241120,0420,LTFJ,200420Z,,FEW012,09/08,1013
20241120,0350,LTFJ,200350Z,,FEW008,09/08,1013
20241120,0320,LTFJ,200320Z,,FEW008,09/08,1013
20241120,0250,LTFJ,200250Z,,FEW004,08/08,1013
20241120,0220,LTFJ,200220Z,BR,FEW004,08/07,1014
20241120,0150,LTFJ,200150Z,BR,FEW004,07/06,1014
20241120,0120,LTFJ,200120Z,BR,FEW004,08/07,1014
20241120,0050,LTFJ,200050Z,NSC,,09/08,1015
20241120,0020,LTFJ,200020Z,NSC,,09/07,1015
20241119,2350,LTFJ,192350Z,NSC,,09/07,1015
20241119,2320,LTFJ,192320Z,NSC,,08/06,1015
20241119,2250,LTFJ,192250Z,NSC,,07/06,1015
20241119,2220,LTFJ,192220Z,NSC,,09/07,1016
20241119,2150,LTFJ,192150Z,CAVOK,,08/06,1016
20241119,2120,LTFJ,192120Z,CAVOK,,09/06,1016
20241119,2050,LTFJ,192050Z,CAVOK,,10/07,1016
20241119,2020,LTFJ,192020Z,CAVOK,,10/06,1016
20241119,1950,LTFJ,191950Z,CAVOK,,10/06,1016
20241119,1920,LTFJ,191920Z,CAVOK,,10/07,1017
20241119,1850,LTFJ,191850Z,CAVOK,,11/07,1017
20241119,1820,LTFJ,191820Z,CAVOK,,11/07,1017
20241119,1750,LTFJ,191750Z,CAVOK,,11/06,1017
20241119,1720,LTFJ,191720Z,CAVOK,,11/06,1017
20241119,1650,LTFJ,191650Z,CAVOK,,11/06,1017
20241119,1620,LTFJ,191620Z,CAVOK,,12/06,1017
20241119,1550,LTFJ,191550Z,CAVOK,,12/06,1017
20241119,1520,LTFJ,191520Z,CAVOK,,13/07,1017
20241119,1450,LTFJ,191450Z,CAVOK,,13/06,1017
20241119,1420,LTFJ,191420Z,CAVOK,,14/06,1017
20241119,1350,LTFJ,191350Z,CAVOK,,15/07,1017
20241119,1320,LTFJ,191320Z,,FEW030,15/07,1017
20241119,1250,LTFJ,191250Z,,FEW030,15/07,1017
20241119,1220,LTFJ,191220Z,,FEW030,16/06,1017
20241119,1150,LTFJ,191150Z,,FEW030,16/06,1017
20241119,1120,LTFJ,191120Z,,FEW030,15/06,1017
20241119,1050,LTFJ,191050Z,,FEW030,16/07,1017
20241119,1020,LTFJ,191020Z,,FEW030,15/07,1018
20241119,0950,LTFJ,190950Z,,FEW030,15/07,1018
20241119,0920,LTFJ,190920Z,,FEW030,15/06,1018
20241119,0850,LTFJ,190850Z,,FEW030,14/06,1018
20241119,0820,LTFJ,190820Z,,FEW030,14/07,1018
20241119,0750,LTFJ,190750Z,,FEW030,13/07,1018
20241119,0720,LTFJ,190720Z,,FEW030,12/07,1018
20241119,0650,LTFJ,190650Z,,FEW030,12/07,1018
20241119,0620,LTFJ,190620Z,,SCT030,12/07,1018
20241119,0550,LTFJ,190550Z,,SCT030,10/06,1017
20241119,0520,LTFJ,190520Z,,SCT030,08/06,1017
20241119,0450,LTFJ,190450Z,,FEW025,09/06,1017
20241119,0420,LTFJ,190420Z,NSC,,09/06,1017
20241119,0350,LTFJ,190350Z,NSC,,10/06,1016
20241119,0320,LTFJ,190320Z,NSC,,10/06,1016
20241119,0250,LTFJ,190250Z,NSC,,10/08,1016
20241119,0220,LTFJ,190220Z,NSC,,10/08,1016
20241119,0150,LTFJ,190150Z,,FEW038,11/09,1016
20241119,0120,LTFJ,190120Z,,FEW020 BKN036,10/09,1016
20241119,0050,LTFJ,190050Z,,FEW019 SCT036,09/08,1016
20241119,0020,LTFJ,190020Z,,FEW017 SCT029,10/09,1016
20241118,2350,LTFJ,182350Z,,FEW013 BKN030,11/09,1016
20241118,2320,LTFJ,182320Z,,FEW013 BKN030,11/09,1015
20241118,2250,LTFJ,182250Z,,FEW016 BKN030,11/09,1015
20241118,2220,LTFJ,182220Z,,SCT015 BKN030,11/09,1015
20241118,2150,LTFJ,182150Z,,SCT027,11/09,1015
20241118,2120,LTFJ,182120Z,,BKN030,12/09,1015
20241118,2050,LTFJ,182050Z,,BKN030,12/10,1015
20241118,2020,LTFJ,182020Z,,SCT019 SCT030,12/09,1015
20241118,1950,LTFJ,181950Z,,SCT019 SCT030,12/09,1015
20241118,1920,LTFJ,181920Z,,SCT019 SCT030,12/09,1015
20241118,1850,LTFJ,181850Z,,SCT019 SCT030,12/10,1014
20241118,1820,LTFJ,181820Z,,BKN015 SCT015,12/09,1014
20241118,1750,LTFJ,181750Z,,BKN040,12/09,1014
20241118,1720,LTFJ,181720Z,,SCT015 BKN040,12/09,1014
20241118,1650,LTFJ,181650Z,,SCT015 BKN040,12/09,1014
20241118,1620,LTFJ,181620Z,,SCT015 BKN040,12/08,1014
20241118,1550,LTFJ,181550Z,,SCT015 BKN035,12/08,1014
20241118,1520,LTFJ,181520Z,,SCT015 BKN035,13/08,1014
20241118,1450,LTFJ,181450Z,,SCT015 BKN035,13/08,1014
20241118,1420,LTFJ,181420Z,,SCT015 BKN035,13/08,1013
20241118,1350,LTFJ,181350Z,,SCT015 BKN035,13/08,1013
20241118,1320,LTFJ,181320Z,,SCT015 BKN035,13/09,1013
20241118,1250,LTFJ,181250Z,,SCT015 BKN035,13/09,1013
20241118,1220,LTFJ,181220Z,,SCT015 BKN035,13/09,1013
20241118,1150,LTFJ,181150Z,,SCT015 BKN035,13/09,1013
20241118,1120,LTFJ,181120Z,,SCT015 BKN035,13/09,1012
20241118,1050,LTFJ,181050Z,,SCT015 BKN035,13/09,1012
20241118,1020,LTFJ,181020Z,,FEW009 BKN023,13/09,1013
20241118,0950,LTFJ,180950Z,,SCT009 BKN023,14/09,1013
20241118,0920,LTFJ,180920Z,,SCT009 BKN023,13/09,1013
20241118,0850,LTFJ,180850Z,,SCT009 BKN023,13/10,1013
20241118,0820,LTFJ,180820Z,,SCT009 BKN023,12/10,1013
20241118,0750,LTFJ,180750Z,,SCT009 BKN022,12/10,1013
20241118,0720,LTFJ,180720Z,-RA,SCT009 BKN022,12/10,1013
20241118,0709,LTFJ,180709Z,-DZ,SCT009 BKN022,12/10,1013
20241118,0650,LTFJ,180650Z,,FEW009 BKN022,12/10,1013
20241118,0620,LTFJ,180620Z,,FEW009 BKN022,12/10,1013
20241118,0550,LTFJ,180550Z,,FEW009 BKN022,12/10,1012
20241118,0520,LTFJ,180520Z,,FEW009 BKN022,11/10,1012
20241118,0450,LTFJ,180450Z,,FEW012 BKN025,11/10,1012
20241118,0420,LTFJ,180420Z,,BKN027,11/10,1012
20241118,0350,LTFJ,180350Z,,BKN027,12/10,1011
20241118,0320,LTFJ,180320Z,,BKN024,12/10,1011
20241118,0250,LTFJ,180250Z,,BKN028,11/10,1011
20241118,0220,LTFJ,180220Z,,BKN024,11/10,1011
20241118,0150,LTFJ,180150Z,,BKN024,11/10,1011
20241118,0120,LTFJ,180120Z,,BKN024,11/10,1011
20241118,0050,LTFJ,180050Z,,BKN020,11/10,1011
20241118,0020,LTFJ,180020Z,,BKN020,12/10,1011
20241117,2350,LTFJ,172350Z,,BKN020,12/10,1011
20241117,2320,LTFJ,172320Z,,BKN020,12/10,1011
20241117,2250,LTFJ,172250Z,,BKN020,12/10,1012
20241117,2220,LTFJ,172220Z,,BKN020,12/10,1012
20241117,2150,LTFJ,172150Z,,BKN020,12/10,1012
20241117,2120,LTFJ,172120Z,,BKN020,12/10,1012
20241117,2050,LTFJ,172050Z,,BKN025,12/09,1012
20241117,2020,LTFJ,172020Z,,BKN025,12/09,1012
20241117,1950,LTFJ,171950Z,,BKN025,12/08,1012
20241117,1920,LTFJ,171920Z,,BKN025,12/08,1012
20241117,1850,LTFJ,171850Z,,BKN025,12/08,1012
20241117,1820,LTFJ,171820Z,,BKN025,12/08,1012
20241117,1750,LTFJ,171750Z,,BKN025,12/08,1012
20241117,1720,LTFJ,171720Z,,BKN030,12/08,1012
20241117,1650,LTFJ,171650Z,,BKN030,12/08,1012
20241117,1620,LTFJ,171620Z,,BKN023,12/08,1012
20241117,1550,LTFJ,171550Z,,BKN023,12/08,1012
20241117,1520,LTFJ,171520Z,,BKN023,12/08,1012
20241117,1450,LTFJ,171450Z,,BKN023,12/08,1012
20241117,1420,LTFJ,171420Z,,BKN023,12/08,1012
20241117,1350,LTFJ,171350Z,,BKN023,12/08,1012
20241117,1320,LTFJ,171320Z,,SCT017 BKN021,12/09,1012
20241117,1250,LTFJ,171250Z,,SCT017 BKN021,12/08,1013
20241117,1220,LTFJ,171220Z,,SCT017 BKN022,12/08,1013
20241117,1150,LTFJ,171150Z,,SCT017 BKN022,13/08,1013
20241117,1120,LTFJ,171120Z,,SCT017 BKN022,13/09,1013
20241117,1050,LTFJ,171050Z,,SCT017 BKN022,13/09,1013
20241117,1020,LTFJ,171020Z,,SCT013 BKN022,12/09,1013
20241117,0950,LTFJ,170950Z,,SCT013 BKN022,12/09,1014
20241117,0920,LTFJ,170920Z,,SCT013 BKN022,11/09,1014
20241117,0850,LTFJ,170850Z,,BKN020,11/09,1015
20241117,0820,LTFJ,170820Z,,BKN020,11/08,1015
20241117,0750,LTFJ,170750Z,-RA,BKN020,11/08,1015
20241117,0720,LTFJ,170720Z,-RA,BKN020,11/08,1015
20241117,0650,LTFJ,170650Z,-RA,BKN020,10/08,1015
20241117,0620,LTFJ,170620Z,-RA,BKN020,11/07,1016
20241117,0550,LTFJ,170550Z,,BKN020,11/07,1016
20241117,0520,LTFJ,170520Z,,BKN020,11/07,1016
20241117,0450,LTFJ,170450Z,,BKN021,11/07,1016
20241117,0420,LTFJ,170420Z,,BKN021,10/07,1016
20241117,0350,LTFJ,170350Z,,BKN023,10/07,1016
20241117,0320,LTFJ,170320Z,,BKN023,10/07,1016
20241117,0250,LTFJ,170250Z,,BKN023,10/07,1016
20241117,0220,LTFJ,170220Z,,BKN023,10/07,1016
20241117,0150,LTFJ,170150Z,,BKN023,10/07,1017
20241117,0120,LTFJ,170120Z,,BKN020,10/07,1017
20241117,0050,LTFJ,170050Z,,BKN020,10/07,1017
20241117,0020,LTFJ,170020Z,,BKN034,10/07,1017
20241116,2350,LTFJ,162350Z,,BKN034,10/07,1017
20241116,2320,LTFJ,162320Z,,BKN034,10/07,1017
20241116,2250,LTFJ,162250Z,,BKN034,10/07,1018
20241116,2220,LTFJ,162220Z,,BKN034,10/07,1018
20241116,2150,LTFJ,162150Z,,BKN034,11/07,1018
20241116,2120,LTFJ,162120Z,,BKN034,11/07,1019
20241116,2050,LTFJ,162050Z,,BKN034,10/07,1019
20241116,2020,LTFJ,162020Z,,BKN034,10/07,1019
20241116,1950,LTFJ,161950Z,,BKN033,10/07,1019
20241116,1920,LTFJ,161920Z,,BKN033,10/08,1019
20241116,1850,LTFJ,161850Z,,BKN033,10/08,1020
20241116,1820,LTFJ,161820Z,,BKN033,10/07,1020
20241116,1750,LTFJ,161750Z,,BKN033,10/07,1020
20241116,1720,LTFJ,161720Z,,BKN033,10/07,1020
20241116,1650,LTFJ,161650Z,,BKN033,10/07,1021
20241116,1620,LTFJ,161620Z,,BKN033,10/07,1020
20241116,1550,LTFJ,161550Z,,FEW017 BKN030,09/07,1020
20241116,1520,LTFJ,161520Z,,FEW017 BKN030,10/07,1021
20241116,1450,LTFJ,161450Z,,BKN028,10/06,1020
20241116,1420,LTFJ,161420Z,,BKN028,10/06,1021
20241116,1350,LTFJ,161350Z,,BKN032,10/06,1021
20241116,1320,LTFJ,161320Z,,BKN032,11/06,1021
20241116,1250,LTFJ,161250Z,,BKN030,11/05,1021
20241116,1220,LTFJ,161220Z,,BKN030,11/05,1021
20241116,1150,LTFJ,161150Z,,BKN030,12/05,1021
20241116,1120,LTFJ,161120Z,,BKN030,12/04,1021
20241116,1050,LTFJ,161050Z,,BKN030,13/05,1021
20241116,1020,LTFJ,161020Z,,BKN030,11/05,1022
20241116,0950,LTFJ,160950Z,,BKN030,11/04,1022
20241116,0920,LTFJ,160920Z,,BKN030,10/04,1022
20241116,0850,LTFJ,160850Z,,BKN028,11/06,1022
20241116,0820,LTFJ,160820Z,,BKN028,10/06,1022
20241116,0750,LTFJ,160750Z,,BKN030,10/07,1022
20241116,0720,LTFJ,160720Z,,BKN035,10/07,1022
20241116,0650,LTFJ,160650Z,,BKN040,09/07,1022
20241116,0620,LTFJ,160620Z,,BKN040,09/06,1022
20241116,0550,LTFJ,160550Z,,BKN025 BKN080,09/07,1021
20241116,0520,LTFJ,160520Z,,BKN025 BKN080,09/07,1021
20241116,0450,LTFJ,160450Z,-RA,BKN025 BKN080,09/07,1021
20241116,0420,LTFJ,160420Z,,BKN025,09/07,1021
20241116,0350,LTFJ,160350Z,-RA,BKN025,09/07,1021
20241116,0320,LTFJ,160320Z,,BKN025,09/07,1020
20241116,0250,LTFJ,160250Z,,BKN025,09/07,1020
20241116,0220,LTFJ,160220Z,,SCT007 BKN025,09/07,1020
20241116,0150,LTFJ,160150Z,,SCT007 BKN025,09/08,1020
20241116,0120,LTFJ,160120Z,,BKN007 BKN025,09/08,1020
20241116,0050,LTFJ,160050Z,-RA,BKN007 BKN025,09/08,1020
20241116,0020,LTFJ,160020Z,-RA,BKN007 BKN025,09/08,1020
20241115,2350,LTFJ,152350Z,-RA,BKN007 BKN025,09/08,1020
20241115,2320,LTFJ,152320Z,-RA,BKN007 BKN025,09/08,1020
20241115,2250,LTFJ,152250Z,-RA,BKN007 BKN025,09/08,1020
20241115,2220,LTFJ,152220Z,-RA,BKN007 BKN025,09/08,1019
20241115,2150,LTFJ,152150Z,-RA,BKN007 BKN025,09/08,1019
20241115,2120,LTFJ,152120Z,-RA,BKN007 BKN025,09/08,1019
20241115,2050,LTFJ,152050Z,-RA,BKN007 BKN025,10/08,1019
20241115,2020,LTFJ,152020Z,-RA,BKN007 BKN025,10/09,1019
20241115,1950,LTFJ,151950Z,-RA,BKN007 BKN025,10/09,1019
20241115,1920,LTFJ,151920Z,-RA,BKN007 BKN025,10/09,1019
20241115,1850,LTFJ,151850Z,-RA,BKN007 BKN025,10/09,1018
20241115,1820,LTFJ,151820Z,,BKN007 BKN025,11/10,1018
20241115,1750,LTFJ,151750Z,-RA,BKN007 BKN025,11/10,1018
20241115,1720,LTFJ,151720Z,-RA,BKN007 BKN025,11/10,1018
20241115,1650,LTFJ,151650Z,-RA,BKN007 BKN025,11/10,1017
20241115,1620,LTFJ,151620Z,-RA,BKN007 BKN025,11/10,1017
20241115,1550,LTFJ,151550Z,-RA,BKN007 BKN025,11/10,1017
20241115,1520,LTFJ,151520Z,-RA,BKN007 BKN025,11/10,1016
20241115,1450,LTFJ,151450Z,-RA,BKN007 BKN025,11/10,1016
20241115,1420,LTFJ,151420Z,-RA,BKN007 BKN025,12/10,1016
20241115,1350,LTFJ,151350Z,-RA,BKN007 BKN025,12/11,1016
20241115,1320,LTFJ,151320Z,-RA,BKN007 BKN025,13/11,1016
20241115,1301,LTFJ,151301Z,-RA,BKN007 BKN025,13/11,1016
20241115,1250,LTFJ,151250Z,,BKN008 BKN025,13/11,1016
20241115,1220,LTFJ,151220Z,,BKN009 BKN025,13/11,1016
20241115,1150,LTFJ,151150Z,,BKN009 BKN025,13/11,1016
20241115,1120,LTFJ,151120Z,,BKN009 BKN025,14/11,1016
20241115,1050,LTFJ,151050Z,,BKN010 BKN025,14/11,1016
20241115,1020,LTFJ,151020Z,,BKN010 BKN025,14/11,1016
20241115,0950,LTFJ,150950Z,,BKN010 BKN025,14/12,1016
20241115,0920,LTFJ,150920Z,-RA,BKN010 BKN025,14/12,1016
20241115,0850,LTFJ,150850Z,BR,BKN010 BKN025,13/12,1016
20241115,0820,LTFJ,150820Z,BR,BKN005 BKN018,13/12,1017
20241115,0750,LTFJ,150750Z,BR,BKN008 BKN018,13/12,1016
20241115,0720,LTFJ,150720Z,BR,BKN008 BKN018,13/12,1016
20241115,0653,LTFJ,150653Z,BR,BKN008 BKN025,13/12,1016
20241115,0650,LTFJ,150650Z,-RA,FEW009 BKN018,13/11,1016
20241115,0620,LTFJ,150620Z,-RA,FEW009 BKN025,13/12,1016
20241115,0550,LTFJ,150550Z,-RA,FEW009 BKN025,13/12,1016
20241115,0520,LTFJ,150520Z,,FEW009 BKN025,13/11,1016
20241115,0450,LTFJ,150450Z,-RA,FEW009 BKN025,12/11,1016
20241115,0420,LTFJ,150420Z,-RA,FEW009 BKN025,13/11,1016
20241115,0350,LTFJ,150350Z,,BKN023,12/11,1015
20241115,0320,LTFJ,150320Z,,BKN023,13/11,1015
20241115,0250,LTFJ,150250Z,,BKN022,13/11,1015
20241115,0220,LTFJ,150220Z,,BKN022,12/11,1015
20241115,0150,LTFJ,150150Z,-RA,BKN023,12/11,1015
20241115,0120,LTFJ,150120Z,-RA,BKN023,12/11,1015
20241115,0050,LTFJ,150050Z,-RA,BKN023,12/11,1016
20241115,0020,LTFJ,150020Z,BR,BKN023,12/11,1016
20241115,0010,LTFJ,150010Z,BR,BKN023,12/11,1016
20241114,2350,LTFJ,142350Z,-RA,BKN030,12/11,1016
20241114,2320,LTFJ,142320Z,-RA,BKN030,12/11,1016
20241114,2250,LTFJ,142250Z,-RA,BKN030,12/11,1016
20241114,2220,LTFJ,142220Z,-RA,BKN030,12/11,1017
20241114,2150,LTFJ,142150Z,-RA,BKN030,12/11,1017
20241114,2120,LTFJ,142120Z,-RA,BKN030,12/11,1017
20241114,2050,LTFJ,142050Z,-RA,BKN030,12/11,1017
20241114,2020,LTFJ,142020Z,RA,BKN030,13/11,1018
20241114,1950,LTFJ,141950Z,-RA,BKN030,13/11,1018
20241114,1920,LTFJ,141920Z,-RA,BKN030,13/11,1018
20241114,1911,LTFJ,141911Z,-RA,BKN030,13/11,1018
20241114,1850,LTFJ,141850Z,,BKN030,13/11,1018
20241114,1820,LTFJ,141820Z,,SCT030,14/11,1018
20241114,1750,LTFJ,141750Z,,SCT030,13/11,1018
20241114,1720,LTFJ,141720Z,,SCT030,13/11,1018
20241114,1650,LTFJ,141650Z,,SCT030,13/11,1018
20241114,1620,LTFJ,141620Z,,SCT030,14/11,1018
20241114,1550,LTFJ,141550Z,,SCT030,14/11,1019
20241114,1520,LTFJ,141520Z,,SCT030,14/11,1018
20241114,1450,LTFJ,141450Z,,SCT030,14/11,1018
20241114,1420,LTFJ,141420Z,,BKN030,15/10,1019
20241114,1350,LTFJ,141350Z,,BKN030,15/10,1019
20241114,1320,LTFJ,141320Z,,BKN030,16/09,1019
20241114,1250,LTFJ,141250Z,,BKN030,16/09,1019
20241114,1220,LTFJ,141220Z,,BKN030,17/10,1019
20241114,1150,LTFJ,141150Z,,BKN029,17/09,1019
20241114,1120,LTFJ,141120Z,,BKN023,17/10,1020
20241114,1050,LTFJ,141050Z,,BKN023,16/10,1020
20241114,1020,LTFJ,141020Z,,BKN023,16/10,1020
20241114,0950,LTFJ,140950Z,,BKN023,16/10,1021
20241114,0920,LTFJ,140920Z,,SCT023,15/10,1022
20241114,0850,LTFJ,140850Z,,BKN013,15/10,1022
20241114,0820,LTFJ,140820Z,,BKN013,14/11,1022
20241114,0750,LTFJ,140750Z,,BKN013,14/11,1022
20241114,0720,LTFJ,140720Z,,BKN013,13/11,1022
20241114,0650,LTFJ,140650Z,,BKN013,12/10,1023
20241114,0620,LTFJ,140620Z,,BKN013,12/10,1023
20241114,0550,LTFJ,140550Z,,OVC013,12/10,1023
20241114,0520,LTFJ,140520Z,,BKN013,12/10,1023
20241114,0450,LTFJ,140450Z,,BKN013,12/10,1023
20241114,0420,LTFJ,140420Z,,BKN013,12/10,1022
20241114,0350,LTFJ,140350Z,,BKN015,12/10,1022
20241114,0320,LTFJ,140320Z,,BKN015,12/10,1022
20241114,0250,LTFJ,140250Z,,BKN020,12/10,1022
20241114,0220,LTFJ,140220Z,,BKN020,12/11,1023
20241114,0150,LTFJ,140150Z,,BKN020,12/11,1023
20241114,0120,LTFJ,140120Z,,BKN020,12/11,1023
20241114,0050,LTFJ,140050Z,,SCT018 BKN030,12/11,1023
20241114,0020,LTFJ,140020Z,,SCT016 BKN033,12/11,1023
20241113,2350,LTFJ,132350Z,,FEW014 BKN033,12/11,1023
20241113,2320,LTFJ,132320Z,,FEW014 BKN033,12/11,1023
20241113,2250,LTFJ,132250Z,,BKN030,12/10,1024
20241113,2220,LTFJ,132220Z,,BKN033,12/11,1024
20241113,2150,LTFJ,132150Z,,BKN034,12/10,1024
20241113,2120,LTFJ,132120Z,,BKN034,12/10,1024
20241113,2050,LTFJ,132050Z,,FEW020 BKN038,12/11,1024
20241113,2020,LTFJ,132020Z,,SCT019 BKN036,12/10,1024
20241113,1950,LTFJ,131950Z,,SCT011 BKN039,12/10,1024
20241113,1920,LTFJ,131920Z,,SCT006 BKN039,12/10,1024
20241113,1850,LTFJ,131850Z,,SCT008 BKN039,12/11,1023
20241113,1820,LTFJ,131820Z,,SCT008 BKN039,12/10,1024
20241113,1750,LTFJ,131750Z,,SCT008 BKN036,12/10,1024
20241113,1720,LTFJ,131720Z,,FEW008 BKN030 BKN090,12/10,1023
20241113,1650,LTFJ,131650Z,,FEW008 BKN030 BKN090,12/11,1023
20241113,1628,LTFJ,131628Z,,FEW008 BKN030 BKN090,13/11,1023
20241113,1620,LTFJ,131620Z,-SHRA,FEW008 BKN030 BKN090,13/11,1023
20241113,1550,LTFJ,131550Z,-SHRA,FEW017 BKN030 BKN090,13/11,1023
20241113,1520,LTFJ,131520Z,-SHRA,FEW017 BKN030 BKN090,14/11,1023
20241113,1450,LTFJ,131450Z,-SHRA,BKN026 BKN090,14/11,1023
20241113,1420,LTFJ,131420Z,-SHRA,BKN023 BKN090,15/11,1023
20241113,1354,LTFJ,131354Z,-SHRA,BKN023 BKN090,15/11,1023
20241113,1350,LTFJ,131350Z,,BKN023 BKN090,15/11,1023
20241113,1320,LTFJ,131320Z,,BKN023 BKN090,15/10,1023
20241113,1250,LTFJ,131250Z,,BKN023 BKN090,16/11,1023
20241113,1220,LTFJ,131220Z,,SCT023 BKN090,16/11,1023
20241113,1150,LTFJ,131150Z,,SCT023 BKN090,16/11,1023
20241113,1120,LTFJ,131120Z,,SCT023 BKN090,16/11,1023
20241113,1050,LTFJ,131050Z,,SCT027 BKN090,17/11,1023
20241113,1020,LTFJ,131020Z,,SCT027 BKN090,16/11,1023
20241113,0950,LTFJ,130950Z,,SCT027 BKN090,16/11,1024
